store,item,current_stock,avg_daily_predicted_demand,days_of_stock_left,stockout_risk,reorder_qty,overstock_flag
2,18,872,81.9,10.6,False,0,False
7,17,210,19.6,10.7,False,0,False
2,47,256,23.5,10.9,False,0,False
4,37,275,25.2,10.9,False,0,False
1,11,558,50.7,11.0,False,0,False
6,26,330,30.0,11.0,False,0,False
7,14,377,34.2,11.0,False,0,False
4,16,232,21.0,11.0,False,0,False
7,15,535,48.4,11.1,False,0,False
5,49,189,17.1,11.1,False,0,False
1,47,172,15.5,11.1,False,0,False
8,35,726,65.2,11.1,False,0,False
7,23,157,14.1,11.1,False,0,False
3,49,327,29.1,11.2,False,0,False
2,32,554,49.3,11.2,False,0,False
5,48,389,34.5,11.3,False,0,False
10,21,425,37.4,11.4,False,0,False
8,34,344,30.2,11.4,False,0,False
5,32,323,28.3,11.4,False,0,False
4,27,219,19.2,11.4,False,0,False
8,49,353,30.8,11.4,False,0,False
10,36,807,70.0,11.5,False,0,False
7,12,479,41.6,11.5,False,0,False
1,2,536,46.3,11.6,False,0,False
6,36,551,47.6,11.6,False,0,False
5,20,340,29.4,11.6,False,0,False
8,29,802,69.2,11.6,False,0,False
1,41,199,17.1,11.6,False,0,False
10,31,621,53.4,11.6,False,0,False
10,30,417,35.7,11.7,False,0,False
1,10,671,57.1,11.8,False,0,False
3,19,423,36.0,11.8,False,0,False
2,44,351,29.7,11.8,False,0,False
5,37,209,17.6,11.9,False,0,False
2,40,389,32.7,11.9,False,0,False
6,3,290,24.2,12.0,False,0,False
3,41,251,20.9,12.0,False,0,False
2,43,664,55.1,12.1,False,0,False
7,22,584,48.4,12.1,False,0,False
1,27,202,16.7,12.1,False,0,False
8,5,241,19.9,12.1,False,0,False
3,11,802,66.1,12.1,False,0,False
7,6,404,33.3,12.1,False,0,False
5,50,478,39.4,12.1,False,0,False
8,16,291,23.9,12.2,False,0,False
2,22,984,80.7,12.2,False,0,False
10,27,258,21.1,12.2,False,0,False
10,37,348,28.4,12.3,False,0,False
8,50,772,62.9,12.3,False,0,False
2,20,575,46.8,12.3,False,0,False
2,7,752,60.9,12.3,False,0,False
1,15,794,64.1,12.4,False,0,False
5,44,225,18.2,12.4,False,0,False
8,46,736,59.3,12.4,False,0,False
1,35,609,49.0,12.4,False,0,False
3,7,674,54.1,12.5,False,0,False
8,9,670,53.5,12.5,False,0,False
2,12,911,72.3,12.6,False,0,False
1,38,758,60.1,12.6,False,0,False
5,10,586,46.4,12.6,False,0,False
3,42,439,34.7,12.7,False,0,False
6,28,698,54.8,12.7,False,0,False
3,45,950,74.5,12.7,False,0,False
7,11,511,40.0,12.8,False,0,False
8,3,505,39.3,12.8,False,0,False
5,3,304,23.6,12.9,False,0,False
10,8,862,66.9,12.9,False,0,False
7,28,640,49.5,12.9,False,0,False
10,47,233,18.0,12.9,False,0,False
5,28,764,58.8,13.0,False,0,False
3,38,954,73.4,13.0,False,0,False
9,38,889,68.1,13.1,False,0,False
2,38,1054,80.6,13.1,False,0,False
8,28,1061,81.1,13.1,False,0,False
5,22,646,49.3,13.1,False,0,False
7,4,153,11.6,13.1,False,0,False
4,33,779,59.3,13.1,False,0,False
7,24,524,39.8,13.2,False,0,False
4,4,288,21.9,13.2,False,0,False
4,22,916,69.5,13.2,False,0,False
10,46,729,55.3,13.2,False,0,False
8,6,788,59.7,13.2,False,0,False
10,22,956,72.2,13.2,False,0,False
1,17,334,25.2,13.3,False,0,False
3,48,655,49.2,13.3,False,0,False
8,4,273,20.4,13.4,False,0,False
3,26,574,42.8,13.4,False,0,False
3,44,369,27.5,13.4,False,0,False
10,20,575,42.7,13.5,False,0,False
10,50,814,60.3,13.5,False,0,False
3,14,773,56.8,13.6,False,0,False
8,41,335,24.5,13.7,False,0,False
3,21,529,38.7,13.7,False,0,False
6,35,569,41.4,13.7,False,0,False
4,47,292,21.1,13.8,False,0,False
2,29,1004,72.5,13.9,False,0,False
2,16,333,24.0,13.9,False,0,False
3,30,553,39.7,13.9,False,0,False
8,31,836,60.0,13.9,False,0,False
5,12,587,42.1,13.9,False,0,False
10,33,885,63.2,14.0,False,0,False
7,3,287,20.5,14.0,False,0,False
3,35,890,63.4,14.0,False,0,False
10,40,387,27.3,14.2,False,0,False
7,44,248,17.5,14.2,False,0,False
4,15,1063,74.9,14.2,False,0,False
6,10,661,46.4,14.2,False,0,False
3,33,942,66.1,14.2,False,0,False
8,1,322,22.6,14.3,False,0,False
7,29,617,43.2,14.3,False,0,False
6,39,371,25.9,14.3,False,0,False
8,43,726,50.7,14.3,False,0,False
10,11,943,65.6,14.4,False,0,False
1,40,330,22.9,14.4,False,0,False
7,8,657,45.6,14.4,False,0,False
9,25,1018,70.4,14.5,False,0,False
5,34,220,15.2,14.5,False,0,False
2,13,1226,84.7,14.5,False,0,False
2,17,488,33.6,14.5,False,0,False
5,47,209,14.4,14.5,False,0,False
5,45,723,49.8,14.5,False,0,False
6,50,624,42.7,14.6,False,0,False
10,29,953,65.2,14.6,False,0,False
10,17,461,31.4,14.7,False,0,False
6,24,585,39.9,14.7,False,0,False
9,50,823,56.1,14.7,False,0,False
10,39,574,39.0,14.7,False,0,False
10,15,1150,77.8,14.8,False,0,False
7,33,628,42.5,14.8,False,0,False
7,36,648,43.7,14.8,False,0,False
5,29,628,42.3,14.8,False,0,False
1,20,549,36.9,14.9,False,0,False
2,46,917,60.8,15.1,False,0,False
5,8,739,48.8,15.2,False,0,False
2,42,638,42.0,15.2,False,0,False
3,20,679,44.6,15.2,False,0,False
9,12,906,59.5,15.2,False,0,False
1,4,245,16.1,15.2,False,0,False
8,44,468,30.7,15.3,False,0,False
8,10,1047,68.3,15.3,False,0,False
3,22,1121,73.2,15.3,False,0,False
10,10,998,65.1,15.3,False,0,False
2,8,1156,75.2,15.4,False,0,False
10,42,510,33.2,15.4,False,0,False
7,49,241,15.7,15.4,False,0,False
9,21,521,33.9,15.4,False,0,False
10,48,711,46.2,15.4,False,0,False
10,28,1189,77.1,15.4,False,0,False
9,11,971,62.9,15.4,False,0,False
4,36,1048,67.9,15.4,False,0,False
5,11,684,44.2,15.5,False,0,False
8,15,1348,86.9,15.5,False,0,False
10,16,360,23.2,15.5,False,0,False
9,48,660,42.5,15.5,False,0,False
5,14,650,41.8,15.6,False,0,False
2,31,953,61.2,15.6,False,0,False
10,43,746,47.9,15.6,False,0,False
6,25,797,51.1,15.6,False,0,False
2,4,368,23.6,15.6,False,0,False
9,40,383,24.5,15.6,False,0,False
4,6,776,49.3,15.7,False,0,False
2,15,1392,88.2,15.8,False,0,False
2,11,1151,72.9,15.8,False,0,False
7,31,560,35.4,15.8,False,0,False
9,39,618,39.0,15.8,False,0,False
9,43,752,47.5,15.8,False,0,False
1,43,587,37.0,15.9,False,0,False
7,18,786,49.5,15.9,False,0,False
1,13,954,60.0,15.9,False,0,False
1,49,358,22.4,16.0,False,0,False
3,2,884,55.2,16.0,False,0,False
6,1,200,12.5,16.0,False,0,False
10,3,521,32.5,16.1,False,0,False
1,1,277,17.2,16.1,False,0,False
6,41,232,14.4,16.1,False,0,False
8,18,1288,80.0,16.1,False,0,False
4,8,1038,64.0,16.2,False,0,False
5,15,935,57.6,16.2,False,0,False
2,28,1412,87.0,16.2,False,0,False
1,30,464,28.6,16.2,False,0,False
1,7,731,45.0,16.2,False,0,False
3,16,433,26.6,16.3,False,0,False
8,37,498,30.5,16.4,False,0,False
7,26,426,26.0,16.4,False,0,False
9,33,954,58.0,16.5,False,0,False
4,30,585,35.5,16.5,False,0,False
8,21,722,43.8,16.5,False,0,False
5,16,258,15.6,16.5,False,0,False
7,1,216,13.1,16.5,False,0,False
3,18,1266,76.6,16.5,False,0,False
9,32,645,39.0,16.5,False,0,False
2,37,495,29.9,16.6,False,0,False
3,17,518,31.2,16.6,False,0,False
5,23,280,16.8,16.7,False,0,False
4,9,748,44.8,16.7,False,0,False
5,1,249,14.9,16.7,False,0,False
7,43,521,31.1,16.8,False,0,False
9,46,829,49.5,16.8,False,0,False
7,34,258,15.4,16.8,False,0,False
6,7,644,38.3,16.8,False,0,False
2,5,321,19.1,16.8,False,0,False
2,30,710,42.0,16.9,False,0,False
8,17,568,33.5,17.0,False,0,False
3,39,723,42.5,17.0,False,0,False
6,49,299,17.6,17.0,False,0,False
7,45,786,46.2,17.0,False,0,False
7,27,200,11.7,17.0,False,0,False
8,30,626,36.7,17.0,False,0,False
8,7,1018,59.7,17.1,False,0,False
3,6,892,52.3,17.1,False,0,False
4,39,650,38.1,17.1,False,0,False
6,6,597,34.9,17.1,False,0,False
4,18,1255,73.4,17.1,False,0,False
10,41,331,19.3,17.1,False,0,False
1,46,761,44.2,17.2,False,0,False
2,14,1049,60.6,17.3,False,0,False
5,38,908,52.4,17.3,False,0,False
10,9,791,45.6,17.3,False,0,False
6,12,785,45.2,17.4,False,0,False
1,31,718,41.3,17.4,False,0,False
9,30,614,35.3,17.4,False,0,False
7,38,740,42.5,17.4,False,0,False
5,41,241,13.8,17.4,False,0,False
1,21,495,28.4,17.4,False,0,False
2,23,571,32.8,17.4,False,0,False
8,33,1166,66.8,17.4,False,0,False
9,26,707,40.5,17.5,False,0,False
6,2,670,38.1,17.6,False,0,False
4,35,947,53.7,17.6,False,0,False
9,18,1219,69.0,17.7,False,0,False
1,25,1055,59.5,17.7,False,0,False
9,3,557,31.4,17.8,False,0,False
9,41,323,18.0,17.9,False,0,False
10,45,1270,70.7,18.0,False,0,False
1,19,549,30.5,18.0,False,0,False
2,6,1061,58.5,18.1,False,0,False
7,46,585,32.3,18.1,False,0,False
1,14,786,43.3,18.2,False,0,False
8,47,402,22.1,18.2,False,0,False
1,8,1012,55.7,18.2,False,0,False
6,46,693,38.1,18.2,False,0,False
3,5,323,17.7,18.2,False,0,False
9,8,1212,66.4,18.3,False,0,False
6,45,881,48.2,18.3,False,0,False
4,44,473,25.9,18.3,False,0,False
8,40,528,28.9,18.3,False,0,False
4,1,355,19.4,18.3,False,0,False
7,21,430,23.4,18.4,False,0,False
5,46,705,38.4,18.4,False,0,False
5,42,417,22.6,18.4,False,0,False
4,10,1113,60.4,18.4,False,0,False
2,3,709,38.5,18.4,False,0,False
1,45,1094,59.1,18.5,False,0,False
4,48,822,44.4,18.5,False,0,False
1,42,445,24.0,18.5,False,0,False
8,8,1351,72.4,18.7,False,0,False
3,32,829,44.4,18.7,False,0,False
4,32,718,38.3,18.7,False,0,False
7,5,195,10.4,18.8,False,0,False
4,31,1005,53.3,18.8,False,0,False
9,47,381,20.2,18.9,False,0,False
8,32,822,43.5,18.9,False,0,False
7,25,878,46.5,18.9,False,0,False
5,36,890,47.1,18.9,False,0,False
9,14,932,49.2,18.9,False,0,False
8,27,424,22.4,19.0,False,0,False
2,33,1304,68.6,19.0,False,0,False
9,20,794,41.7,19.0,False,0,False
6,48,575,30.2,19.0,False,0,False
4,20,770,40.4,19.0,False,0,False
7,47,232,12.2,19.0,False,0,False
4,17,493,25.9,19.1,False,0,False
1,23,432,22.6,19.1,False,0,False
6,29,775,40.4,19.2,False,0,False
9,28,1417,73.6,19.3,False,0,False
9,6,954,49.3,19.3,False,0,False
9,2,999,51.6,19.4,False,0,False
4,12,1204,62.2,19.4,False,0,False
1,3,497,25.5,19.5,False,0,False
6,15,1034,52.9,19.5,False,0,False
6,30,469,23.9,19.6,False,0,False
8,20,951,48.5,19.6,False,0,False
5,35,811,41.2,19.7,False,0,False
5,19,470,23.8,19.7,False,0,False
9,31,1016,51.4,19.8,False,0,False
4,29,1171,59.1,19.8,False,0,False
3,37,548,27.5,19.9,False,0,False
9,34,410,20.6,19.9,False,0,False
3,4,409,20.5,19.9,False,0,False
9,5,337,16.9,19.9,False,0,False
1,24,901,45.2,19.9,False,0,False
1,12,1015,50.8,20.0,False,0,False
7,40,329,16.3,20.2,False,0,False
6,43,625,30.8,20.3,False,0,False
10,2,1006,49.6,20.3,False,0,False
7,20,534,26.3,20.3,False,0,False
5,26,557,27.4,20.3,False,0,False
5,24,800,39.2,20.4,False,0,False
4,24,1121,54.9,20.4,False,0,False
5,33,812,39.7,20.4,False,0,False
4,41,401,19.6,20.5,False,0,False
4,2,983,47.9,20.5,False,0,False
10,18,1533,73.7,20.8,False,0,False
3,10,1281,61.5,20.8,False,0,False
8,11,1399,67.1,20.8,False,0,False
1,6,924,44.3,20.8,False,0,False
1,32,665,31.9,20.9,False,0,False
10,13,1552,74.2,20.9,False,0,False
6,47,297,14.1,21.1,False,0,True
10,7,1088,51.5,21.1,False,0,True
2,50,1352,64.0,21.1,False,0,True
4,28,1560,73.8,21.2,False,0,True
9,10,1332,62.2,21.4,False,0,True
3,1,421,19.6,21.4,False,0,True
7,42,431,20.0,21.5,False,0,True
5,2,762,35.2,21.7,False,0,True
8,36,1641,74.8,21.9,False,0,True
8,38,1684,76.6,22.0,False,0,True
3,43,964,43.7,22.1,False,0,True
