store,item,date,predicted_sales
5,24,2018-01-01,32.48
5,25,2018-01-01,39.94
5,26,2018-01-01,21.62
5,27,2018-01-01,10.57
5,28,2018-01-01,48.37
5,29,2018-01-01,33.34
5,30,2018-01-01,20.01
5,31,2018-01-01,28.97
5,32,2018-01-01,23.13
5,33,2018-01-01,31.92
5,34,2018-01-01,11.74
5,35,2018-01-01,33.34
5,36,2018-01-01,38.83
5,37,2018-01-01,14.45
5,38,2018-01-01,42.88
5,39,2018-01-01,23.22
5,40,2018-01-01,13.36
5,41,2018-01-01,12.38
5,42,2018-01-01,17.66
5,43,2018-01-01,24.57
5,44,2018-01-01,14.73
5,45,2018-01-01,42.3
5,46,2018-01-01,31.11
5,47,2018-01-01,11.08
5,48,2018-01-01,28.44
5,49,2018-01-01,13.75
5,50,2018-01-01,32.14
6,1,2018-01-01,10.6
6,2,2018-01-01,30.99
6,3,2018-01-01,19.97
6,4,2018-01-01,9.31
6,5,2018-01-01,8.08
6,6,2018-01-01,27.21
6,7,2018-01-01,29.57
6,8,2018-01-01,39.94
6,9,2018-01-01,28.72
6,10,2018-01-01,37.32
6,11,2018-01-01,35.03
6,12,2018-01-01,38.3
6,13,2018-01-01,45.14
6,14,2018-01-01,29.66
6,15,2018-01-01,43.06
6,16,2018-01-01,12.7
6,17,2018-01-01,17.25
6,18,2018-01-01,42.13
6,19,2018-01-01,19.93
6,20,2018-01-01,24.85
6,21,2018-01-01,19.42
6,22,2018-01-01,37.23
6,23,2018-01-01,13.76
6,24,2018-01-01,31.06
6,25,2018-01-01,43.14
6,26,2018-01-01,24.36
6,27,2018-01-01,11.72
6,28,2018-01-01,43.28
6,29,2018-01-01,32.32
6,30,2018-01-01,18.96
6,31,2018-01-01,27.63
6,32,2018-01-01,23.08
6,33,2018-01-01,33.89
6,34,2018-01-01,13.59
6,35,2018-01-01,31.89
6,36,2018-01-01,39.85
6,37,2018-01-01,15.13
6,38,2018-01-01,41.54
6,39,2018-01-01,23.08
6,40,2018-01-01,14.91
6,41,2018-01-01,11.08
6,42,2018-01-01,17.09
6,43,2018-01-01,25.41
6,44,2018-01-01,14.86
6,45,2018-01-01,39.61
6,46,2018-01-01,30.32
6,47,2018-01-01,11.39
6,48,2018-01-01,24.48
6,49,2018-01-01,13.06
6,50,2018-01-01,35.94
7,1,2018-01-01,10.67
7,2,2018-01-01,25.1
7,3,2018-01-01,15.66
7,4,2018-01-01,9.95
7,5,2018-01-01,8.08
7,6,2018-01-01,27.26
7,7,2018-01-01,30.07
7,8,2018-01-01,38.84
7,9,2018-01-01,21.64
7,10,2018-01-01,34.17
7,11,2018-01-01,33.09
7,12,2018-01-01,34.02
7,13,2018-01-01,37.91
7,14,2018-01-01,27.45
7,15,2018-01-01,38.87
7,16,2018-01-01,11.41
7,17,2018-01-01,16.51
7,18,2018-01-01,39.87
7,19,2018-01-01,17.84
7,20,2018-01-01,21.41
7,21,2018-01-01,17.82
7,22,2018-01-01,38.4
7,23,2018-01-01,12.06
7,24,2018-01-01,32.85
7,25,2018-01-01,36.65
7,26,2018-01-01,20.81
7,27,2018-01-01,9.23
7,28,2018-01-01,41.01
7,29,2018-01-01,34.83
7,30,2018-01-01,18.38
7,31,2018-01-01,30.56
7,32,2018-01-01,20.71
7,33,2018-01-01,33.41
7,34,2018-01-01,12.28
7,35,2018-01-01,31.7
7,36,2018-01-01,36.31
7,37,2018-01-01,12.6
7,38,2018-01-01,33.24
7,39,2018-01-01,16.15
7,40,2018-01-01,13.1
7,41,2018-01-01,10.6
7,42,2018-01-01,17.2
7,43,2018-01-01,25.37
7,44,2018-01-01,14.17
7,45,2018-01-01,37.69
7,46,2018-01-01,24.95
7,47,2018-01-01,9.42
7,48,2018-01-01,24.17
7,49,2018-01-01,13.16
7,50,2018-01-01,30.24
8,1,2018-01-01,18.25
8,2,2018-01-01,51.39
8,3,2018-01-01,31.57
8,4,2018-01-01,16.51
8,5,2018-01-01,16.09
8,6,2018-01-01,48.2
8,7,2018-01-01,48.51
8,8,2018-01-01,58.0
8,9,2018-01-01,43.03
8,10,2018-01-01,55.91
8,11,2018-01-01,55.5
8,12,2018-01-01,55.54
8,13,2018-01-01,66.26
8,14,2018-01-01,47.25
8,15,2018-01-01,72.8
8,16,2018-01-01,18.24
8,17,2018-01-01,26.81
8,18,2018-01-01,64.2
8,19,2018-01-01,34.17
8,20,2018-01-01,42.1
8,21,2018-01-01,35.76
8,22,2018-01-01,62.76
8,23,2018-01-01,23.09
8,24,2018-01-01,53.95
8,25,2018-01-01,64.75
8,26,2018-01-01,37.3
8,27,2018-01-01,18.05
8,28,2018-01-01,67.94
8,29,2018-01-01,55.2
8,30,2018-01-01,29.7
8,31,2018-01-01,49.7
8,32,2018-01-01,34.03
8,33,2018-01-01,54.39
8,34,2018-01-01,23.39
8,35,2018-01-01,53.9
8,36,2018-01-01,61.48
8,37,2018-01-01,23.54
8,38,2018-01-01,63.74
8,39,2018-01-01,37.52
8,40,2018-01-01,23.89
8,41,2018-01-01,19.77
8,42,2018-01-01,29.09
8,43,2018-01-01,39.36
8,44,2018-01-01,24.89
8,45,2018-01-01,58.36
8,46,2018-01-01,48.23
8,47,2018-01-01,18.22
8,48,2018-01-01,43.9
8,49,2018-01-01,24.59
8,50,2018-01-01,50.26
9,1,2018-01-01,13.95
9,2,2018-01-01,42.54
9,3,2018-01-01,25.34
9,4,2018-01-01,14.57
9,5,2018-01-01,13.49
9,6,2018-01-01,39.05
9,7,2018-01-01,42.53
9,8,2018-01-01,52.41
9,9,2018-01-01,37.75
9,10,2018-01-01,51.48
9,11,2018-01-01,50.89
9,12,2018-01-01,47.92
9,13,2018-01-01,56.32
9,14,2018-01-01,39.98
9,15,2018-01-01,57.53
9,16,2018-01-01,16.58
9,17,2018-01-01,22.46
9,18,2018-01-01,54.27
9,19,2018-01-01,30.68
9,20,2018-01-01,33.17
9,21,2018-01-01,27.13
9,22,2018-01-01,54.88
9,23,2018-01-01,22.35
9,24,2018-01-01,46.25
9,25,2018-01-01,56.85
9,26,2018-01-01,30.78
9,27,2018-01-01,15.26
9,28,2018-01-01,58.21
9,29,2018-01-01,50.52
9,30,2018-01-01,26.38
9,31,2018-01-01,40.6
9,32,2018-01-01,30.71
9,33,2018-01-01,46.05
9,34,2018-01-01,15.91
9,35,2018-01-01,48.73
9,36,2018-01-01,52.64
9,37,2018-01-01,23.11
9,38,2018-01-01,56.09
9,39,2018-01-01,31.57
9,40,2018-01-01,19.41
9,41,2018-01-01,14.94
9,42,2018-01-01,25.01
9,43,2018-01-01,39.31
9,44,2018-01-01,19.62
9,45,2018-01-01,54.08
9,46,2018-01-01,40.06
9,47,2018-01-01,16.08
9,48,2018-01-01,33.11
9,49,2018-01-01,19.54
9,50,2018-01-01,44.83
10,1,2018-01-01,15.49
10,2,2018-01-01,39.78
10,3,2018-01-01,26.35
10,4,2018-01-01,15.63
10,5,2018-01-01,13.62
10,6,2018-01-01,42.15
10,7,2018-01-01,40.63
10,8,2018-01-01,53.16
10,9,2018-01-01,36.49
10,10,2018-01-01,52.76
10,11,2018-01-01,55.5
10,12,2018-01-01,52.18
10,13,2018-01-01,58.43
10,14,2018-01-01,41.86
10,15,2018-01-01,63.1
10,16,2018-01-01,18.43
10,17,2018-01-01,25.71
10,18,2018-01-01,56.38
10,19,2018-01-01,29.2
10,20,2018-01-01,34.96
10,21,2018-01-01,29.64
10,22,2018-01-01,54.78
10,23,2018-01-01,21.81
10,24,2018-01-01,50.09
10,25,2018-01-01,58.12
10,26,2018-01-01,35.28
10,27,2018-01-01,15.76
10,28,2018-01-01,61.84
10,29,2018-01-01,52.97
10,30,2018-01-01,29.23
10,31,2018-01-01,44.34
10,32,2018-01-01,31.84
10,33,2018-01-01,51.09
10,34,2018-01-01,17.93
10,35,2018-01-01,46.81
10,36,2018-01-01,57.2
10,37,2018-01-01,22.09
10,38,2018-01-01,59.51
10,39,2018-01-01,30.58
10,40,2018-01-01,21.81
10,41,2018-01-01,15.45
10,42,2018-01-01,26.57
10,43,2018-01-01,38.18
10,44,2018-01-01,21.68
10,45,2018-01-01,58.8
10,46,2018-01-01,45.97
10,47,2018-01-01,15.15
10,48,2018-01-01,37.45
10,49,2018-01-01,22.95
10,50,2018-01-01,47.81
1,1,2018-01-02,16.27
1,2,2018-01-02,43.95
1,3,2018-01-02,23.42
1,4,2018-01-02,16.2
1,5,2018-01-02,13.13
1,6,2018-01-02,40.85
1,7,2018-01-02,43.66
1,8,2018-01-02,49.85
1,9,2018-01-02,35.33
1,10,2018-01-02,54.41
1,11,2018-01-02,48.83
1,12,2018-01-02,47.0
1,13,2018-01-02,56.7
1,14,2018-01-02,40.51
1,15,2018-01-02,61.17
1,16,2018-01-02,19.69
1,17,2018-01-02,23.34
1,18,2018-01-02,63.8
1,19,2018-01-02,27.97
1,20,2018-01-02,34.21
1,21,2018-01-02,26.37
1,22,2018-01-02,55.35
1,23,2018-01-02,21.56
1,24,2018-01-02,41.55
1,25,2018-01-02,55.68
1,26,2018-01-02,36.87
1,27,2018-01-02,15.91
1,28,2018-01-02,60.17
1,29,2018-01-02,49.74
1,30,2018-01-02,26.63
1,31,2018-01-02,38.83
1,32,2018-01-02,28.44
1,33,2018-01-02,48.87
1,34,2018-01-02,19.38
1,35,2018-01-02,45.87
1,36,2018-01-02,52.93
1,37,2018-01-02,16.81
1,38,2018-01-02,56.2
1,39,2018-01-02,30.44
1,40,2018-01-02,21.06
1,41,2018-01-02,16.74
1,42,2018-01-02,22.64
1,43,2018-01-02,34.75
1,44,2018-01-02,20.46
1,45,2018-01-02,53.72
1,46,2018-01-02,40.53
1,47,2018-01-02,13.88
1,48,2018-01-02,36.01
1,49,2018-01-02,20.33
1,50,2018-01-02,44.92
2,1,2018-01-02,20.5
2,2,2018-01-02,56.69
2,3,2018-01-02,36.11
2,4,2018-01-02,22.38
2,5,2018-01-02,18.07
2,6,2018-01-02,53.5
2,7,2018-01-02,57.57
2,8,2018-01-02,75.54
2,9,2018-01-02,48.65
2,10,2018-01-02,67.66
2,11,2018-01-02,70.31
2,12,2018-01-02,69.04
2,13,2018-01-02,80.1
2,14,2018-01-02,56.62
2,15,2018-01-02,85.07
2,16,2018-01-02,22.84
2,17,2018-01-02,31.26
2,18,2018-01-02,79.76
2,19,2018-01-02,37.84
2,20,2018-01-02,43.83
2,21,2018-01-02,38.85
2,22,2018-01-02,78.66
2,23,2018-01-02,29.19
2,24,2018-01-02,60.01
2,25,2018-01-02,80.05
2,26,2018-01-02,48.8
2,27,2018-01-02,22.1
2,28,2018-01-02,87.12
2,29,2018-01-02,67.07
2,30,2018-01-02,38.18
2,31,2018-01-02,60.2
2,32,2018-01-02,46.63
2,33,2018-01-02,65.32
2,34,2018-01-02,23.34
2,35,2018-01-02,60.03
2,36,2018-01-02,75.02
2,37,2018-01-02,29.01
2,38,2018-01-02,79.6
2,39,2018-01-02,41.55
2,40,2018-01-02,30.0
2,41,2018-01-02,21.77
2,42,2018-01-02,38.64
2,43,2018-01-02,51.77
2,44,2018-01-02,28.56
2,45,2018-01-02,80.19
2,46,2018-01-02,58.37
2,47,2018-01-02,22.19
2,48,2018-01-02,45.84
2,49,2018-01-02,29.79
2,50,2018-01-02,61.08
3,1,2018-01-02,17.77
3,2,2018-01-02,53.08
3,3,2018-01-02,31.74
3,4,2018-01-02,19.19
3,5,2018-01-02,17.16
3,6,2018-01-02,49.18
3,7,2018-01-02,50.4
3,8,2018-01-02,65.82
3,9,2018-01-02,46.68
3,10,2018-01-02,56.18
3,11,2018-01-02,63.94
3,12,2018-01-02,62.9
3,13,2018-01-02,74.43
3,14,2018-01-02,51.41
3,15,2018-01-02,74.22
3,16,2018-01-02,23.9
3,17,2018-01-02,30.36
3,18,2018-01-02,74.19
3,19,2018-01-02,34.45
3,20,2018-01-02,41.59
3,21,2018-01-02,37.09
3,22,2018-01-02,68.99
3,23,2018-01-02,24.71
3,24,2018-01-02,66.56
3,25,2018-01-02,64.27
3,26,2018-01-02,39.21
3,27,2018-01-02,19.99
3,28,2018-01-02,73.11
3,29,2018-01-02,61.65
3,30,2018-01-02,37.63
3,31,2018-01-02,47.7
3,32,2018-01-02,42.41
3,33,2018-01-02,64.83
3,34,2018-01-02,22.33
3,35,2018-01-02,59.69
3,36,2018-01-02,66.12
3,37,2018-01-02,24.06
3,38,2018-01-02,69.69
3,39,2018-01-02,40.48
3,40,2018-01-02,27.17
3,41,2018-01-02,19.01
3,42,2018-01-02,31.85
3,43,2018-01-02,41.43
3,44,2018-01-02,25.87
3,45,2018-01-02,71.98
3,46,2018-01-02,51.84
3,47,2018-01-02,19.64
3,48,2018-01-02,47.47
3,49,2018-01-02,27.64
3,50,2018-01-02,58.1
4,1,2018-01-02,19.01
4,2,2018-01-02,44.61
4,3,2018-01-02,32.7
4,4,2018-01-02,22.21
4,5,2018-01-02,14.97
4,6,2018-01-02,46.34
4,7,2018-01-02,48.0
4,8,2018-01-02,59.79
4,9,2018-01-02,43.82
4,10,2018-01-02,55.15
4,11,2018-01-02,61.87
4,12,2018-01-02,60.18
4,13,2018-01-02,71.44
4,14,2018-01-02,48.02
4,15,2018-01-02,68.2
4,16,2018-01-02,19.59
4,17,2018-01-02,23.35
4,18,2018-01-02,69.6
4,19,2018-01-02,33.78
4,20,2018-01-02,37.26
4,21,2018-01-02,34.67
4,22,2018-01-02,64.85
4,23,2018-01-02,21.77
4,24,2018-01-02,52.24
4,25,2018-01-02,67.44
4,26,2018-01-02,36.06
4,27,2018-01-02,17.41
4,28,2018-01-02,69.16
4,29,2018-01-02,56.37
4,30,2018-01-02,33.7
4,31,2018-01-02,49.24
4,32,2018-01-02,36.03
4,33,2018-01-02,56.16
4,34,2018-01-02,20.73
4,35,2018-01-02,51.59
4,36,2018-01-02,66.71
4,37,2018-01-02,23.2
4,38,2018-01-02,63.33
4,39,2018-01-02,35.04
4,40,2018-01-02,23.23
4,41,2018-01-02,18.56
4,42,2018-01-02,29.53
4,43,2018-01-02,42.57
4,44,2018-01-02,23.51
4,45,2018-01-02,66.61
4,46,2018-01-02,49.64
4,47,2018-01-02,19.96
4,48,2018-01-02,41.02
4,49,2018-01-02,22.09
4,50,2018-01-02,49.48
5,1,2018-01-02,14.15
5,2,2018-01-02,34.23
5,3,2018-01-02,21.95
5,4,2018-01-02,11.4
5,5,2018-01-02,11.94
5,6,2018-01-02,32.75
5,7,2018-01-02,33.49
5,8,2018-01-02,43.54
5,9,2018-01-02,29.79
5,10,2018-01-02,43.93
5,11,2018-01-02,42.63
5,12,2018-01-02,40.78
5,13,2018-01-02,49.95
5,14,2018-01-02,39.73
5,15,2018-01-02,54.84
5,16,2018-01-02,14.39
5,17,2018-01-02,18.38
5,18,2018-01-02,51.8
5,19,2018-01-02,22.54
5,20,2018-01-02,29.01
5,21,2018-01-02,22.32
5,22,2018-01-02,48.69
5,23,2018-01-02,14.77
5,24,2018-01-02,38.83
5,25,2018-01-02,45.09
5,26,2018-01-02,25.66
5,27,2018-01-02,12.77
5,28,2018-01-02,55.68
5,29,2018-01-02,40.86
5,30,2018-01-02,23.61
5,31,2018-01-02,35.09
5,32,2018-01-02,27.88
5,33,2018-01-02,36.86
5,34,2018-01-02,13.78
5,35,2018-01-02,40.14
5,36,2018-01-02,42.98
5,37,2018-01-02,16.18
5,38,2018-01-02,49.62
5,39,2018-01-02,25.35
5,40,2018-01-02,15.61
5,41,2018-01-02,13.01
5,42,2018-01-02,21.81
5,43,2018-01-02,29.45
5,44,2018-01-02,16.74
5,45,2018-01-02,49.33
5,46,2018-01-02,37.0
5,47,2018-01-02,13.28
5,48,2018-01-02,33.04
5,49,2018-01-02,16.63
5,50,2018-01-02,38.09
6,1,2018-01-02,12.25
6,2,2018-01-02,35.76
6,3,2018-01-02,21.95
6,4,2018-01-02,11.23
6,5,2018-01-02,9.82
6,6,2018-01-02,32.7
6,7,2018-01-02,35.32
6,8,2018-01-02,45.94
6,9,2018-01-02,33.15
6,10,2018-01-02,41.48
6,11,2018-01-02,39.91
6,12,2018-01-02,43.33
6,13,2018-01-02,52.11
6,14,2018-01-02,34.11
6,15,2018-01-02,49.92
6,16,2018-01-02,15.3
6,17,2018-01-02,20.75
6,18,2018-01-02,50.92
6,19,2018-01-02,22.31
6,20,2018-01-02,30.26
6,21,2018-01-02,24.9
6,22,2018-01-02,43.7
6,23,2018-01-02,16.19
6,24,2018-01-02,34.2
6,25,2018-01-02,48.57
6,26,2018-01-02,28.18
6,27,2018-01-02,13.9
6,28,2018-01-02,52.8
6,29,2018-01-02,37.47
6,30,2018-01-02,21.77
6,31,2018-01-02,31.13
6,32,2018-01-02,25.9
6,33,2018-01-02,42.57
6,34,2018-01-02,14.92
6,35,2018-01-02,38.34
6,36,2018-01-02,44.07
6,37,2018-01-02,16.89
6,38,2018-01-02,47.07
6,39,2018-01-02,24.69
6,40,2018-01-02,17.62
6,41,2018-01-02,13.16
6,42,2018-01-02,19.27
6,43,2018-01-02,29.75
6,44,2018-01-02,17.9
6,45,2018-01-02,47.09
6,46,2018-01-02,36.75
6,47,2018-01-02,13.47
6,48,2018-01-02,28.48
6,49,2018-01-02,16.57
6,50,2018-01-02,41.06
7,1,2018-01-02,12.51
7,2,2018-01-02,29.34
7,3,2018-01-02,20.85
7,4,2018-01-02,11.15
7,5,2018-01-02,10.57
7,6,2018-01-02,31.57
7,7,2018-01-02,35.64
7,8,2018-01-02,42.77
7,9,2018-01-02,25.28
7,10,2018-01-02,40.0
7,11,2018-01-02,38.03
7,12,2018-01-02,39.69
7,13,2018-01-02,46.56
7,14,2018-01-02,31.25
7,15,2018-01-02,45.81
7,16,2018-01-02,13.26
7,17,2018-01-02,18.84
7,18,2018-01-02,48.09
7,19,2018-01-02,20.92
7,20,2018-01-02,23.9
7,21,2018-01-02,21.85
7,22,2018-01-02,48.53
7,23,2018-01-02,12.66
7,24,2018-01-02,37.79
7,25,2018-01-02,44.73
7,26,2018-01-02,24.07
7,27,2018-01-02,11.34
7,28,2018-01-02,47.35
7,29,2018-01-02,40.98
7,30,2018-01-02,21.48
7,31,2018-01-02,34.1
7,32,2018-01-02,23.84
7,33,2018-01-02,41.06
7,34,2018-01-02,13.8
7,35,2018-01-02,36.58
7,36,2018-01-02,40.54
7,37,2018-01-02,14.49
7,38,2018-01-02,41.33
7,39,2018-01-02,20.79
7,40,2018-01-02,15.08
7,41,2018-01-02,11.27
7,42,2018-01-02,19.42
7,43,2018-01-02,28.5
7,44,2018-01-02,16.67
7,45,2018-01-02,42.2
7,46,2018-01-02,30.68
7,47,2018-01-02,11.13
7,48,2018-01-02,28.28
7,49,2018-01-02,15.27
7,50,2018-01-02,35.83
8,1,2018-01-02,21.31
8,2,2018-01-02,61.26
8,3,2018-01-02,37.4
8,4,2018-01-02,19.47
8,5,2018-01-02,19.83
8,6,2018-01-02,56.87
8,7,2018-01-02,55.93
8,8,2018-01-02,66.32
8,9,2018-01-02,51.44
8,10,2018-01-02,65.81
8,11,2018-01-02,62.12
8,12,2018-01-02,66.4
8,13,2018-01-02,78.78
8,14,2018-01-02,55.9
8,15,2018-01-02,82.45
8,16,2018-01-02,23.12
8,17,2018-01-02,31.35
8,18,2018-01-02,73.46
8,19,2018-01-02,39.92
8,20,2018-01-02,48.73
8,21,2018-01-02,41.89
8,22,2018-01-02,72.3
8,23,2018-01-02,29.4
8,24,2018-01-02,64.51
8,25,2018-01-02,78.01
8,26,2018-01-02,43.58
8,27,2018-01-02,20.55
8,28,2018-01-02,77.72
8,29,2018-01-02,62.75
8,30,2018-01-02,34.64
8,31,2018-01-02,57.2
8,32,2018-01-02,40.39
8,33,2018-01-02,62.0
8,34,2018-01-02,26.47
8,35,2018-01-02,61.12
8,36,2018-01-02,71.66
8,37,2018-01-02,26.5
8,38,2018-01-02,72.5
8,39,2018-01-02,45.54
8,40,2018-01-02,27.3
8,41,2018-01-02,23.63
8,42,2018-01-02,35.29
8,43,2018-01-02,44.09
8,44,2018-01-02,27.76
8,45,2018-01-02,70.61
8,46,2018-01-02,56.83
8,47,2018-01-02,21.02
8,48,2018-01-02,50.12
8,49,2018-01-02,28.21
8,50,2018-01-02,62.38
9,1,2018-01-02,17.87
9,2,2018-01-02,49.07
9,3,2018-01-02,29.26
9,4,2018-01-02,17.34
9,5,2018-01-02,16.25
9,6,2018-01-02,45.82
9,7,2018-01-02,49.78
9,8,2018-01-02,63.1
9,9,2018-01-02,42.24
9,10,2018-01-02,57.45
9,11,2018-01-02,64.39
9,12,2018-01-02,55.85
9,13,2018-01-02,67.29
9,14,2018-01-02,44.34
9,15,2018-01-02,66.17
9,16,2018-01-02,20.28
9,17,2018-01-02,25.97
9,18,2018-01-02,65.91
9,19,2018-01-02,35.56
9,20,2018-01-02,38.95
9,21,2018-01-02,32.38
9,22,2018-01-02,65.94
9,23,2018-01-02,23.71
9,24,2018-01-02,55.1
9,25,2018-01-02,65.43
9,26,2018-01-02,38.65
9,27,2018-01-02,18.35
9,28,2018-01-02,69.79
9,29,2018-01-02,60.52
9,30,2018-01-02,33.17
9,31,2018-01-02,46.87
